candidate_key,candidate_label,candidate_protocol_key,reference_key,reference_label,reference_protocol_key,benchmark,candidate_score,reference_score,difference,difference_percentage_points,difference_definition,interval_status,ci95_lower,ci95_upper,ci95_lower_percentage_points,ci95_upper_percentage_points,paired_interval_includes_zero,bootstrap_samples,bootstrap_seed,uncertainty_scope,training_run_variability_estimated
ue5m3_proposed_b16,"Proposed UE5M3 FP4, B=16, cold D=50",fp4_activation_training_replay_d50,nvfp4_te_recipe,"Transformer Engine NVFP4 recipe, native current-tensor D=1",nvfp4_transformer_engine_native,mmlu_pro_mc,0.11062167553191489,0.11053856382978723,8.31117021276584e-05,0.00831117021276584,candidate_score - reference_score; positive favors candidate,not_computed_for_order_dependent_stateful_replay,,,,,,,,not estimated for order-dependent replay,False
ue5m3_proposed_b32,"Proposed UE5M3 FP4, B=32, cold D=50",fp4_activation_training_replay_d50,nvfp4_te_recipe,"Transformer Engine NVFP4 recipe, native current-tensor D=1",nvfp4_transformer_engine_native,core_9mcqa_olmes,0.6284977465840513,0.6369206800261427,-0.00842293344209133,-0.8422933442091329,candidate_score - reference_score; positive favors candidate,not_computed_for_order_dependent_stateful_replay,,,,,,,,not estimated for order-dependent replay,False
ue5m3_proposed_b32,"Proposed UE5M3 FP4, B=32, cold D=50",fp4_activation_training_replay_d50,nvfp4_te_recipe,"Transformer Engine NVFP4 recipe, native current-tensor D=1",nvfp4_transformer_engine_native,mmlu_olmes,0.38141416591351024,0.3796448260953333,0.0017693398181769515,0.17693398181769515,candidate_score - reference_score; positive favors candidate,not_computed_for_order_dependent_stateful_replay,,,,,,,,not estimated for order-dependent replay,False
ue5m3_proposed_b32,"Proposed UE5M3 FP4, B=32, cold D=50",fp4_activation_training_replay_d50,nvfp4_te_recipe,"Transformer Engine NVFP4 recipe, native current-tensor D=1",nvfp4_transformer_engine_native,mmlu_pro_mc,0.11037234042553191,0.11053856382978723,-0.0001662234042553168,-0.01662234042553168,candidate_score - reference_score; positive favors candidate,not_computed_for_order_dependent_stateful_replay,,,,,,,,not estimated for order-dependent replay,False
ue5m3_proposed_torch,"Proposed UE5M3 FP4, generic Torch emulator, cold D=50",fp4_activation_training_replay_d50,nvfp4_te_recipe,"Transformer Engine NVFP4 recipe, native current-tensor D=1",nvfp4_transformer_engine_native,core_9mcqa_olmes,0.6354436627441737,0.6369206800261427,-0.0014770172819689176,-0.14770172819689176,candidate_score - reference_score; positive favors candidate,not_computed_for_order_dependent_stateful_replay,,,,,,,,not estimated for order-dependent replay,False
ue5m3_proposed_torch,"Proposed UE5M3 FP4, generic Torch emulator, cold D=50",fp4_activation_training_replay_d50,nvfp4_te_recipe,"Transformer Engine NVFP4 recipe, native current-tensor D=1",nvfp4_transformer_engine_native,mmlu_olmes,0.38315090579683175,0.3796448260953333,0.0035060797014984657,0.35060797014984657,candidate_score - reference_score; positive favors candidate,not_computed_for_order_dependent_stateful_replay,,,,,,,,not estimated for order-dependent replay,False
ue5m3_proposed_torch,"Proposed UE5M3 FP4, generic Torch emulator, cold D=50",fp4_activation_training_replay_d50,nvfp4_te_recipe,"Transformer Engine NVFP4 recipe, native current-tensor D=1",nvfp4_transformer_engine_native,mmlu_pro_mc,0.109375,0.11053856382978723,-0.0011635638297872314,-0.11635638297872314,candidate_score - reference_score; positive favors candidate,not_computed_for_order_dependent_stateful_replay,,,,,,,,not estimated for order-dependent replay,False
nvfp4_proposed_settings,"Native NVFP4 no-RHT/all-linears ablation, effective D=1",nvfp4_transformer_engine_native,nvfp4_te_recipe,"Transformer Engine NVFP4 recipe, native current-tensor D=1",nvfp4_transformer_engine_native,core_9mcqa_olmes,0.599416191471063,0.6369206800261427,-0.03750448855507971,-3.7504488555079707,candidate_score - reference_score; positive favors candidate,computed,-0.047009205520918494,-0.02766301319859511,-4.70092055209185,-2.7663013198595108,False,10000,20260831,evaluation-example sampling only,False
nvfp4_proposed_settings,"Native NVFP4 no-RHT/all-linears ablation, effective D=1",nvfp4_transformer_engine_native,nvfp4_te_recipe,"Transformer Engine NVFP4 recipe, native current-tensor D=1",nvfp4_transformer_engine_native,mmlu_olmes,0.35114918891672003,0.3796448260953333,-0.028495637178613253,-2.8495637178613253,candidate_score - reference_score; positive favors candidate,computed,-0.036099944378881955,-0.020499284068778493,-3.6099944378881954,-2.049928406877849,False,10000,20260831,evaluation-example sampling only,False
nvfp4_proposed_settings,"Native NVFP4 no-RHT/all-linears ablation, effective D=1",nvfp4_transformer_engine_native,nvfp4_te_recipe,"Transformer Engine NVFP4 recipe, native current-tensor D=1",nvfp4_transformer_engine_native,mmlu_pro_mc,0.11286569148936171,0.11053856382978723,0.0023271276595744766,0.23271276595744766,candidate_score - reference_score; positive favors candidate,computed,-0.00515292553191489,0.009391622340425523,-0.5152925531914889,0.9391622340425523,True,10000,20260831,evaluation-example sampling only,False
ue5m3_te_recipe,"UE5M3 FP4 with Transformer Engine settings, current-tensor D=1",fp4_current_tensor_d1,nvfp4_te_recipe,"Transformer Engine NVFP4 recipe, native current-tensor D=1",nvfp4_transformer_engine_native,core_9mcqa_olmes,0.6443290045503574,0.6369206800261427,0.007408324524214693,0.7408324524214693,candidate_score - reference_score; positive favors candidate,computed,-0.0016058329278742821,0.016342878842029486,-0.16058329278742822,1.6342878842029487,True,10000,20260831,evaluation-example sampling only,False
ue5m3_te_recipe,"UE5M3 FP4 with Transformer Engine settings, current-tensor D=1",fp4_current_tensor_d1,nvfp4_te_recipe,"Transformer Engine NVFP4 recipe, native current-tensor D=1",nvfp4_transformer_engine_native,mmlu_olmes,0.38572988598672475,0.3796448260953333,0.006085059891391464,0.6085059891391464,candidate_score - reference_score; positive favors candidate,computed,-0.0011114866039182503,0.013506327180218283,-0.11114866039182503,1.3506327180218283,True,10000,20260831,evaluation-example sampling only,False
ue5m3_te_recipe,"UE5M3 FP4 with Transformer Engine settings, current-tensor D=1",fp4_current_tensor_d1,nvfp4_te_recipe,"Transformer Engine NVFP4 recipe, native current-tensor D=1",nvfp4_transformer_engine_native,mmlu_pro_mc,0.11361369680851063,0.11053856382978723,0.003075132978723402,0.3075132978723402,candidate_score - reference_score; positive favors candidate,computed,-0.0035738031914893525,0.009557845744680854,-0.35738031914893525,0.9557845744680854,True,10000,20260831,evaluation-example sampling only,False
